p_mois,p_vol,p_ash,p_car,p_sul,u_nit
14.95,31.91,34.69,18.45,3.519,1.29
14.61,31.875,35.865,17.65,3.595,1.277
13.795,34.61,34.92,16.675,4.466,1.268
12.595,33.42,35.565,18.42,3.619,1.343
12.285,34.14,34.445,19.13,3.613,1.394
12.32,35.275,32.42,19.985,4.218,1.373
11.64,34.3,33.81,20.25,4.159,1.38
11.34,34.325,33.96,20.375,4.273,1.379
10.545,35.265,35.64,18.55,4.125,1.331
10.76,34.94,33.18,21.12,4.01,1.509
10.91,34.83,33.555,20.705,4.005,1.444
13.18,31.78,38.715,16.325,3.746,1.256
14.825,31.37,37.13,16.675,3.668,1.251
13.635,33.28,33.04,20.045,3.961,1.402
11.56,33.38,38.11,16.95,3.694,1.314
11.76,33.575,35.09,19.575,3.861,1.394
11.38,32.085,38.15,18.385,3.897,1.308
12.41,33.925,35.795,17.87,3.998,1.335
10.915,35.135,33.67,20.28,4.032,1.43
11.885,31.955,39.04,17.12,3.945,1.276
13.98,33.415,35.935,16.67,4.11,1.218
14.045,33.255,32.11,20.59,4.1,1.354
14.6,32.72,32.955,19.725,4.17,1.294
12.525,33.235,35.175,19.065,4.095,1.488
12.81,33.3,36.71,17.18,4.244,1.395
12.71,34.725,31.56,21.005,3.801,1.531
12.69,34.515,31.725,21.07,3.933,1.602
11.375,34.71,32.075,21.84,4.015,1.425
10.505,33.005,37.85,18.64,4.085,1.482
11.635,33.775,37.11,17.48,4.062,1.397
13.275,35.05,30.215,21.46,3.617,1.282
11.96,34.58,33.085,20.375,3.672,1.461
13.99,33.725,31.505,20.78,3.604,1.474
14.56,33.41,31.705,20.325,4.48,1.325
15.07,33.305,31.615,20.01,3.475,1.387
13.525,34.39,29.845,22.24,3.41,1.471
13.81,32.65,32.305,21.235,3.87,1.373
14.12,32.585,33.69,19.605,3.705,1.333
14.705,33.31,33.805,18.18,3.705,1.333
14.055,32.14,31.9,21.905,3.833,1.408
16.585,31.505,33.525,18.385,3.402,1.298
16.7,31.965,32.965,18.37,3.423,1.289
14.645,31.675,35.785,17.895,3.581,1.288
15.405,32.905,33.41,18.28,3.668,1.315
14.33,31.18,39.95,14.54,3.763,1.177
15.885,31.955,32.735,19.425,3.557,1.295
15.88,32.095,31.38,20.645,3.454,1.357
14.975,33.335,32.02,19.67,3.554,1.361
16.625,29.64,36.855,16.88,3.98,1.234
18.085,30.87,34.635,16.41,3.418,1.212
17.64,30.835,34.01,17.515,3.282,1.277
16.19,31.925,35.28,16.605,3.412,1.262
16.33,30.895,35.435,17.34,3.55,1.249
16.55,30.36,36.245,16.845,3.935,1.165
16.74,30.96,34.885,17.415,3.48,1.263
16.405,31.905,33.735,17.955,3.44,1.298
18.42,28.885,34.5,18.195,4.073,1.209
16.91,30.125,31.845,21.12,3.639,1.323
16.13,30.745,32.865,20.26,3.72,1.321
17.38,30.095,32.935,19.59,3.719,1.286
11.935,32.4,37.755,17.91,3.88,1.28
12.29,31.05,34.69,21.97,3.475,1.402
15.12,30.855,36.335,17.69,3.684,1.255
16.77,31.76,32.34,19.13,3.534,1.29
15.985,32.645,32.14,19.23,3.59,1.428
14.675,31.02,37.38,16.925,3.961,1.393
16.34,32.25,32.285,19.125,3.471,1.514
15.59,32.725,31.925,19.76,3.495,1.51
13.645,32.11,35.975,18.27,4.185,1.346
13.7,30.92,36.975,18.405,3.584,1.361
13.57,30.875,36.017,19.538,4.152,1.403
13.6,31.575,36.56,18.265,3.392,1.405
13.765,31.56,36.26,18.415,3.541,1.403
13.855,30.005,39.435,16.705,3.388,1.33
16.545,33.135,32.035,18.285,4.08,1.379
